Date,Open,High,Low,Close,Adj Close,Volume
1996-07-16,5.000000,5.150000,5.000000,5.090000,1.659738,214000
1996-07-17,5.400000,5.605000,5.400000,5.600000,1.826037,244000
1996-07-18,5.630000,5.875000,5.625000,5.650000,1.842342,163000
1996-07-19,5.650000,5.875000,5.600000,5.875000,1.915709,299000
1996-07-22,5.875000,5.900000,5.800000,5.860000,1.910818,21000
1996-07-23,5.850000,5.920000,5.655000,5.700000,1.858645,141000
1996-07-24,5.575000,5.575000,5.355000,5.550000,1.809734,167000
1996-07-25,5.400000,5.555000,5.400000,5.455000,1.778756,128000
1996-07-26,5.450000,5.475000,5.430000,5.450000,1.777126,109000
1996-07-29,5.350000,5.400000,5.350000,5.400000,1.760822,91000
1996-07-30,5.320000,5.375000,5.110000,5.125000,1.671151,183000
1996-07-31,4.950000,5.300000,4.950000,5.300000,1.728214,137000
1996-08-01,5.300000,5.300000,5.205000,5.250000,1.711910,83000
1996-08-02,5.200000,5.290000,5.200000,5.245000,1.710280,20000
1996-08-05,5.230000,5.250000,5.180000,5.240000,1.708650,69000
1996-08-06,5.225000,5.265000,5.175000,5.260000,1.715171,65000
1996-08-07,5.220000,5.260000,5.220000,5.260000,1.715171,14000
1996-08-08,5.250000,5.275000,5.230000,5.255000,1.713541,41000
1996-08-09,5.275000,5.300000,5.230000,5.295000,1.726584,44000
1996-08-12,5.175000,5.250000,5.175000,5.220000,1.702128,29000
1996-08-13,5.250000,5.400000,5.240000,5.400000,1.760822,70000
1996-08-14,5.400000,5.405000,5.300000,5.325000,1.736366,45000
1996-08-15,5.325000,5.325000,5.325000,5.325000,1.736366,0
1996-08-16,5.350000,5.350000,5.100000,5.160000,1.682563,131000
1996-08-19,4.900000,5.065000,4.900000,4.920000,1.604304,88000
1996-08-20,4.750000,4.900000,4.435000,4.705000,1.534198,128000
1996-08-21,4.775000,4.800000,4.725000,4.800000,1.565175,20000
1996-08-22,4.725000,4.750000,4.705000,4.750000,1.548872,9000
1996-08-23,4.790000,4.790000,4.700000,4.715000,1.537459,13000
1996-08-26,4.900000,4.900000,4.600000,4.600000,1.499959,20000
1996-08-27,4.500000,4.595000,4.500000,4.535000,1.478764,25000
1996-08-28,4.725000,4.765000,4.700000,4.765000,1.553762,7000
1996-08-29,4.750000,4.750000,4.725000,4.725000,1.540719,4000
1996-08-30,4.725000,4.745000,4.675000,4.745000,1.547241,3000
1996-09-02,4.745000,4.800000,4.745000,4.775000,1.557023,11000
1996-09-03,4.750000,4.750000,4.300000,4.445000,1.449417,36000
1996-09-04,4.575000,4.690000,4.525000,4.690000,1.529306,13000
1996-09-05,4.620000,4.690000,4.620000,4.690000,1.529306,4000
